,# YTID,start_seconds,end_seconds,positive_labels
247,-W5c6CeUMPE,40.0,50.0,/m/0l14j_
695,0Wdh45yt7tY,50.0,60.0,/m/0l14j_
869,0u5-WiBKam8,50.0,60.0,/m/0l14j_
1085,1QSD-dzEv7Y,40.0,50.0,/m/0l14j_
1116,1W2Cz2Jj76Q,30.0,40.0,/m/0l14j_
1329,20QZS9L5WeA,70.0,80.0,/m/0l14j_
1733,2wZCoeq9Ppc,80.0,90.0,/m/0l14j_
2545,4vGLTrW04UE,250.0,260.0,/m/0l14j_
2706,5GRy0IXTebA,100.0,110.0,/m/0l14j_
2736,5MAX6bUSf4s,110.0,120.0,/m/0l14j_
4037,8kH-dzSBthI,250.0,260.0,/m/0l14j_
4105,8tY6nioUQIw,220.0,230.0,/m/0l14j_
4234,9InBmD_Miek,280.0,290.0,/m/0l14j_
4371,9gSOOPDuD4Y,180.0,190.0,/m/0l14j_
4839,Ats8Yb9WrDU,40.0,50.0,/m/0l14j_
6434,Ezodz2aZnzQ,70.0,80.0,/m/0l14j_
6664,FanTFCvjacY,30.0,40.0,/m/0l14j_
6988,GWcTd6XrQj4,380.0,390.0,/m/0l14j_
7457,HpkPTa1fQDE,500.0,510.0,/m/0l14j_
7475,HtXtfCR-MUg,60.0,70.0,/m/0l14j_
8454,KabP9iNokps,30.0,40.0,/m/0l14j_
8487,Ki7Bxz1CThI,70.0,80.0,/m/0l14j_
8521,KnZeEWVHaLc,230.0,240.0,/m/0l14j_
8555,KsFCPOKAH60,90.0,100.0,/m/0l14j_
8964,M10rUOuDLoQ,80.0,90.0,/m/0l14j_
9432,NSyqj1DXZKg,130.0,140.0,/m/0l14j_
9844,Ofry7lyQZDA,90.0,100.0,/m/0l14j_
10052,PKJMsnUJ994,30.0,40.0,/m/0l14j_
10054,PKsdjH0RmsU,30.0,40.0,/m/0l14j_
10668,RDNatVYvpeA,30.0,40.0,/m/0l14j_
10913,S051dpWiaeA,30.0,40.0,/m/0l14j_
11760,UY2_Q830lqo,30.0,40.0,/m/0l14j_
12168,VlXi2TxMXbc,130.0,140.0,/m/0l14j_
13195,YjTz5y8DnWo,30.0,40.0,/m/0l14j_
13704,_5w5TVK5B90,370.0,380.0,/m/0l14j_
13758,_IP6zlayY7k,30.0,40.0,/m/0l14j_
13938,_oNLyxk08oA,30.0,40.0,/m/0l14j_
13992,a-P0p_UtagM,30.0,40.0,/m/0l14j_
14825,c_y2hokeXis,150.0,160.0,/m/0l14j_
15106,dUlQepCYXgw,460.0,470.0,/m/0l14j_
15421,eWSA0xubW7I,140.0,150.0,/m/0l14j_
15525,en56uOGTwzg,0.0,10.0,/m/0l14j_
15641,fCqHSy0qflM,80.0,90.0,/m/0l14j_
15705,fPYxUa1ZVAY,30.0,40.0,/m/0l14j_
15862,fvpDYGzdRmo,120.0,130.0,/m/0l14j_
16133,ggNSbi9Ss3s,30.0,40.0,/m/0l14j_
16182,gqkqzqCHM3A,30.0,40.0,/m/0l14j_
16370,hNB0Rgb54uI,70.0,80.0,/m/0l14j_
16876,j1MK2re7goU,30.0,40.0,/m/0l14j_
17877,mBWqKWuqiTE,30.0,40.0,/m/0l14j_
18306,nVSDv46ARvY,70.0,80.0,/m/0l14j_
