,# YTID,start_seconds,end_seconds,positive_labels
926,--viZL0Blww,30.0,40.0,/m/0l14j_
2443,-1UKhxopZpk,30.0,40.0,/m/0l14j_
3288,-2LQpVivf-k,20.0,30.0,/m/0l14j_
4101,-39ksMWQj6g,80.0,90.0,/m/0l14j_
4504,-3c95C5K-Rs,80.0,90.0,/m/0l14j_
5316,-4TJHvjsYrE,30.0,40.0,/m/0l14j_
5388,-4Y0LjkowqY,60.0,70.0,/m/0l14j_
6228,-5MpRM5DfFI,160.0,170.0,"/m/02bxd,/m/0l14j_"
6558,-5hSTgAPM6U,30.0,40.0,/m/0l14j_
6693,-5pKlm17Ukg,170.0,180.0,/m/0l14j_
7688,-6qpoXJFAdQ,220.0,230.0,/m/0l14j_
8373,-7ViIOuCUVA,30.0,40.0,/m/0l14j_
8507,-7f3Jc2itJ0,220.0,230.0,/m/0l14j_
9446,-8cxQhs28yk,29.0,39.0,/m/0l14j_
9485,-8euC6mQGck,40.0,50.0,/m/0l14j_
9630,-8ozvTgx--E,30.0,40.0,/m/0l14j_
10317,-9X3h2WLxEo,150.0,160.0,/m/0l14j_
10845,-A3b9tZs-eE,30.0,40.0,/m/0l14j_
11228,-AS9ztNafGg,180.0,190.0,/m/0l14j_
12284,-BTusKdsjjA,0.0,10.0,/m/0l14j_
12421,-BaY2ollfyo,30.0,40.0,/m/0l14j_
13368,-CXPQTCphQE,30.0,40.0,/m/0l14j_
13488,-CdddXvVQwM,110.0,120.0,/m/0l14j_
14056,-DBhStbZvLQ,140.0,150.0,/m/0l14j_
14849,-E1Vroh3yh0,30.0,40.0,/m/0l14j_
15363,-EZa50z-sqw,110.0,120.0,/m/0l14j_
15781,-EykObuahN0,30.0,40.0,/m/0l14j_
16518,-Fk62y-1WHo,60.0,70.0,/m/0l14j_
16865,-G4PtM_9GWY,30.0,40.0,/m/0l14j_
17104,-GK0GKqrr5c,100.0,110.0,/m/0l14j_
18576,-HpCjiutVuE,30.0,40.0,/m/0l14j_
19214,-IV_bcVQVSw,30.0,40.0,/m/0l14j_
19714,-J0k5DL0jXk,110.0,120.0,/m/0l14j_
20127,-JUE1yeH0FY,30.0,40.0,/m/0l14j_
20648,-K-cClwDUXI,0.0,10.0,/m/0l14j_
22004,-LJBMjH851A,30.0,40.0,/m/0l14j_
22702,-M-XS9fZCEA,70.0,80.0,/m/0l14j_
22878,-MA-kCHoC8o,60.0,70.0,/m/0l14j_
23639,-Mw6aR_FTk0,30.0,40.0,/m/0l14j_
24772,-O2NYN9A5I0,30.0,40.0,/m/0l14j_
24846,-O6JZg_THsc,30.0,40.0,/m/0l14j_
25370,-OdAfi6xZWM,150.0,160.0,/m/0l14j_
26081,-PP5Hx17amY,100.0,110.0,/m/0l14j_
26956,-QGolBGIg8A,150.0,160.0,/m/0l14j_
27041,-QMzUFcZM7w,30.0,40.0,/m/0l14j_
27170,-QVO0p4jbho,30.0,40.0,/m/0l14j_
28779,-S7iM3Az7wE,30.0,40.0,/m/0l14j_
29152,-SVZrSFgPnk,30.0,40.0,/m/0l14j_
30016,-TPhXhKWAx4,30.0,40.0,/m/0l14j_
30227,-Tch5am2RTY,30.0,40.0,/m/0l14j_
30246,-Te92We4OOQ,340.0,350.0,/m/0l14j_
31042,-UTm_pQcWDA,40.0,50.0,/m/0l14j_
31061,-UVOFRthq_c,30.0,40.0,/m/0l14j_
31895,-VMucqAakNE,30.0,40.0,/m/0l14j_
32638,-WB83NPN4Ls,30.0,40.0,/m/0l14j_
34253,-XrLFOaZxa0,70.0,80.0,/m/0l14j_
34909,-YY2Y0PRp-4,180.0,190.0,/m/0l14j_
35141,-YmTTXFmlq8,230.0,240.0,/m/0l14j_
35183,-YoghH7J9mQ,130.0,140.0,/m/0l14j_
35834,-ZQw6V4dT1o,30.0,40.0,/m/0l14j_
36094,-ZfbLcU9VmQ,10.0,20.0,/m/0l14j_
36719,-_JY_gVLNNQ,30.0,40.0,/m/0l14j_
37002,-_bm7VDAUo4,0.0,10.0,/m/0l14j_
37320,-_wBqo5pn7U,0.0,10.0,/m/0l14j_
39093,-bja0Dc1s7o,30.0,40.0,/m/0l14j_
39445,-c7FquVGDc8,30.0,40.0,/m/0l14j_
39572,-cFbJ160-hA,30.0,40.0,/m/0l14j_
40617,-dKiaWqUJf0,30.0,40.0,/m/0l14j_
41222,-e-ZVr_GYO4,30.0,40.0,/m/0l14j_
41764,-eYvHStwsOo,30.0,40.0,/m/0l14j_
